Name,Type,Website,Location,City,Hours,Comments,How to Help This Business,Dine-In,Outdoor Dining,Outdoor Recreation,Outdoor Retail,Outdoor Services,Gift Cards,Delivery,Take-Out,Order Online,NoCoNosh,DoorDash,GrubHub,Postmates,Bottles,Cans,Crowlers,Growlers,Product Options,Availability,meta_row_index,meta_row_id,GPS Location
Ace Gillett's,,,239 South College Avenue,Fort Collins,,,,,,,,,,,,,,,,,,,,,,,3,48d1bb447557ef5aa90232c88dccfc83a30a425c,POINT (-105.07707700000002 40.585098)
Bawarchi Biryanis,Restaurant/Bar,https://www.bawarchifortcollins.com,1611 S College Ave #100,Fort Collins,,,,,,,,,,,,,true,true,true,true,,,,,,"DoorDash, GrubHub, NoCoNosh, Postmates",24,6f533a2ef2753ee22e2b8db1892fd554e2857254,POINT (-105.077038 40.566241)
Chipper's Lanes,Entertainment & Recreation,,217 W Horsetooth Rd,Fort Collins,,"Contact us at 970-286-0802. RESERVE LANE OR TABLE NOW Horsetooth: OPEN, Bowling and Restaurant",,,,,,,,,,,,,,,,,,,,,69,b552db34de5746b9b3b1408d943fe31a8ebe0b26,POINT (-105.079815 40.538029)
Carnegie Center for Creativity,,,200 Mathews,Fort Collins,,,,,,,,,,,,,,,,,,,,,,,57,66b4d1148fdf26113a7a8c174e90c6f37899383b,POINT (-105.074063 40.584897)
DC Oakes Brewhouse,Brewery,https://www.dcoakesbrewhouse.com/,3581 Harmony Rd #110,Fort Collins,,"Delivers within 7 miles, 11am-9pm, 970-286-2076",,,,,,,,true,true,,,,,,,,true,true,"Crowlers, Growlers","Delivery, Take-Out",101,72e08ef02587fa67881b070ad4bdabc454a9d974,POINT (-105.009436 40.523223)
Garwoods Jewelers,,,131 S COLLEGE AVE,Fort Collins,,,,,,,,,,,,,,,,,,,,,,,164,727f7c110088109994ebfab75d127a6361aee71c,POINT (-105.077072 40.586311)
Golden Poppy Herbal Apothecary,,,223 N. College Ave.,Fort Collins,,,,,,,,,,,,,,,,,,,,,,,170,7e7cb2d7eaf268258b12fa5282ab38f62a9c5533,POINT (-105.077053 40.589578)
Guaranteed Rate Mortgage,Business & Professional,http://www.rate.com/loan-expert/stephenponcepore,"2580 E. Harmony Rd, Ste. 310",Fort Collins,7am 7 pm M-S,,Rate and like us on social media,,,,,,,,,,,,,,,,,,,,174,d2632e23748d7511a6f03422e9687922c13bc80d,POINT (-105.030142 40.523354)
Glenn Fertility & Family Wellness,Health & Wellness,https://www.glennwellness.com/,211 West Myrtle Street,Fort Collins,Wednesday through Saturday 10am-6pm,,We'd love if you would like and follow us. @glennwellness  We have a great referral system where you receive a complimentary treatment once you refer someone.  We'll be sharing a gift card special shortly that would make a great gift for friends and family. Thank you for providing this service to our local residents! We appreciate your efforts to keep us going :),,,,,,true,,,,,,,,,,,,Gift Cards,,169,eab308c4522157fb62c072f567886232022a2116,POINT (-105.079702 40.580127)
Jax Outdoor Gear,,,1200 North College,Fort Collins,,,,,,,,,,,,,,,,,,,,,,,211,b62f83aab657778c96956c1ddfb6126e5453bbf4,POINT (-105.076578 40.60223)
